;numero_station;cours_d_eau;departement;altitude;annee;TEMP;OXYGENE;NUTRIMENT_AZOTÉS;NUTRIMENT_PHOSPHORÉS;ACIDIFICATION;POLLUANTS_SPÉCIFIQUES;MACROPHYTES;POISSONS;POTENTIEL_ECOLO;CHIM;lat-lon
8751;6121500;RHONE;VAUCLUSE;29;2014;Ind;TBE;TBE;BE;BE;BE;;;MOY;MAUV;(44.07180960284091, 4.7689106745340615)
8969;6125500;RHONE;VAUCLUSE;19;2014;Ind;TBE;TBE;BE;BE;;;;MOY;;(43.95146849320258, 4.8002920780194405)
8750;6121500;RHONE;VAUCLUSE;29;2015;Ind;TBE;TBE;BE;BE;BE;;;MOY;MAUV;(44.07180960284091, 4.7689106745340615)
8968;6125500;RHONE;VAUCLUSE;19;2015;Ind;TBE;TBE;BE;BE;;;;MOY;;(43.95146849320258, 4.8002920780194405)
8749;6121500;RHONE;VAUCLUSE;29;2016;Ind;TBE;TBE;BE;BE;BE;;;MOY;MAUV;(44.07180960284091, 4.7689106745340615)
8967;6125500;RHONE;VAUCLUSE;19;2016;Ind;BE;TBE;BE;BE;BE;;;MOY;BE;(43.95146849320258, 4.8002920780194405)
8748;6121500;RHONE;VAUCLUSE;29;2017;Ind;TBE;TBE;BE;TBE;BE;;;MOY;MAUV;(44.07180960284091, 4.7689106745340615)
8966;6125500;RHONE;VAUCLUSE;19;2017;Ind;TBE;TBE;BE;TBE;BE;;;MOY;MAUV;(43.95146849320258, 4.8002920780194405)
8747;6121500;RHONE;VAUCLUSE;29;2018;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(44.07180960284091, 4.7689106745340615)
8965;6125500;RHONE;VAUCLUSE;19;2018;Ind;BE;TBE;BE;TBE;BE;;;MOY;BE;(43.95146849320258, 4.8002920780194405)
8746;6121500;RHONE;VAUCLUSE;29;2019;Ind;TBE;TBE;BE;TBE;BE;;;MOY;MAUV;(44.07180960284091, 4.7689106745340615)
8964;6125500;RHONE;VAUCLUSE;19;2019;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(43.95146849320258, 4.8002920780194405)
8745;6121500;RHONE;VAUCLUSE;29;2020;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(44.07180960284091, 4.7689106745340615)
8963;6125500;RHONE;VAUCLUSE;19;2020;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(43.95146849320258, 4.8002920780194405)
8744;6121500;RHONE;VAUCLUSE;29;2021;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(44.07180960284091, 4.7689106745340615)
8962;6125500;RHONE;VAUCLUSE;19;2021;Ind;TBE;TBE;BE;TBE;BE;;;MOY;BE;(43.95146849320258, 4.8002920780194405)
